company_id,company_cik,company_composite_figi,company_market_locale,company_share_class_figi,company_asset_type,company_ticker,company_name
1,0001420529,BBG000V2S3P6,us,BBG001T125S9,stocks,AACG,ATA Creativity Global American Depositary Shares
2,0001422142,BBG002WN7DT2,us,BBG002WN7DV9,stocks,AADI,"Aadi Bioscience, Inc. Common Stock"
3,0001408970,BBG000BDYRW6,us,BBG001T9B1Y4,stocks,AADR,AdvisorShares Dorsey Wright ADR ETF
4,0000006201,BBG005P7Q881,us,BBG005P7Q907,stocks,AAL,American Airlines Group Inc.
5,0000008177,BBG000B9XB24,us,BBG001S5N8T1,stocks,AAME,Atlantic American Corp
6,0001158114,BBG000D6VW15,us,BBG001SG47G4,stocks,AAOI,"Applied Optoelectronics, Inc."
7,0000824142,BBG000C2LZP3,us,BBG001S6CZK0,stocks,AAON,Aaon Inc
8,0001689873,BBG0193F21N2,us,BBG0193F22H7,stocks,AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF
9,,BBG0193YGJ57,us,BBG0193YGK09,stocks,AAPD,Direxion Daily AAPL Bear 1X Shares
10,0000320193,BBG000B9XRY4,us,BBG001S5N8V8,stocks,AAPL,Apple Inc.
11,,BBG0193YBZ92,us,BBG0193YC043,stocks,AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares
12,0001100663,BBG000G6GXC5,us,BBG001T2V2D8,stocks,AAXJ,iShares MSCI All Country Asia ex Japan ETF
13,0001576873,BBG004M1KJN5,us,BBG004M1KJP3,stocks,ABAT,American Battery Technology Company Common Stock
14,0001703057,BBG00LLW2MF2,us,BBG00LLW2MH0,stocks,ABCL,AbCellera Biologics Inc. Common Shares
15,,BBG01KMFQRF2,us,BBG01KMFQS88,stocks,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
16,0000318306,BBG000DT5D52,us,BBG001S8T7K0,stocks,ABEO,Abeona Therapeutics Inc. Common Stock
17,0001814287,BBG00VY1KB95,us,BBG00VY1KBC1,stocks,ABL,"Abacus Life, Inc. Class A Common Stock"
18,0001814287,,us,,stocks,ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028"
19,0001814287,BBG00X8S1470,us,,stocks,ABLLW,"Abacus Life, Inc. Warrant"
20,0001957489,,us,,stocks,ABLV,Able View Global Inc. Class B Ordinary Shares
21,0001957489,,us,,stocks,ABLVW,Able View Global Inc. Warrant
22,0001559720,BBG001Y2XS07,us,BBG001Y2XS16,stocks,ABNB,"Airbnb, Inc. Class A Common Stock"
23,0001576885,BBG0058YJ317,us,BBG0058YJ326,stocks,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock"
24,0001893219,BBG013X0S7F3,us,BBG013X0S889,stocks,ABP,"Abpro Holdings, Inc Common Stock"
25,,BBG0142NHSW2,us,,stocks,ABPWW,"Abpro Holdings, Inc. Warrant"
26,0001672688,BBG011N54CJ8,us,BBG011N54DC3,stocks,ABSI,Absci Corporation Common Stock
27,0001864055,,us,,stocks,ABTS,Abits Group Inc Ordinary Shares
28,0001447028,BBG000RR8V85,us,BBG001S6RSK0,stocks,ABUS,Arbutus Biopharma Corporation Common Stock
29,0001173313,BBG000Q844Z2,us,BBG001SMCS49,stocks,ABVC,"ABVC BioPharma, Inc. Common Stock"
30,0001979484,BBG01NGG37N1,us,BBG01NGG37P9,stocks,ABVE,Above Food Ingredients Inc. Common Stock
31,0001979484,BBG01NKYQFV5,us,,stocks,ABVEW,Above Food Ingredients Inc. Warrants
32,0001956827,BBG01JLQNZ03,us,BBG01JLQNZV9,stocks,ABVX,Abivax SA American Depositary Shares
33,0001070494,BBG000BHG9K0,us,BBG001SB06N3,stocks,ACAD,Acadia Pharmaceuticals Inc.
34,0001683541,BBG006SCSYG7,us,BBG001SV77D1,stocks,ACB,Aurora Cannabis Inc. Common Shares
35,0001481646,BBG00S2L1Z00,us,BBG00S2L1ZR1,stocks,ACCD,"Accolade, Inc. Common Stock"
36,0001881487,BBG013PRYPJ2,us,BBG013PRYQC7,stocks,ACDC,ProFrac Holding Corp. Class A Common Stock
37,0001720580,BBG00JCXSJP3,us,BBG00JCXSJQ2,stocks,ACET,"Adicet Bio, Inc. Common Stock"
38,0000947484,,us,,stocks,ACGL,Arch Capital Group Ltd
39,0000947484,,us,,stocks,ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
40,0000947484,,us,,stocks,ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F"
41,0001520697,BBG000FPNN38,us,BBG001SNNWL7,stocks,ACHC,"Acadia Healthcare Company, Inc."
42,0001830749,BBG00ZHF9VV8,us,BBG00ZHF9WP3,stocks,ACHL,Achilles Therapeutics plc American Depositary Shares
